left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0.482978,0.412219,0.114895,0.999948,0.410771,0.410902,0.104616,0.999934,0.526894,0.457555,-0.002123,0.991801,0.364889,0.450905,-0.008845,0.985695,0.522864,0.392431,-0.156743,0.992124,0.370932,0.391356,-0.181892,0.984459,0.470509,0.568787,0.001462,0.999794,0.425305,0.568373,-0.001457,0.999849,0.476528,0.703912,-0.020224,0.957684,0.413397,0.707814,-0.028725,0.96083,0.478258,0.825589,0.049858,0.91509,0.406038,0.8375,0.037251,0.947195,0.469925,0.841167,0.051839,0.655864,0.409908,0.855574,0.038506,0.662173,0.492989,0.854847,-0.050463,0.913096,0.391431,0.873655,-0.067658,0.919184
0.483098,0.411289,0.11427,0.99995,0.411018,0.410989,0.089855,0.999941,0.526686,0.459835,0.009294,0.993139,0.365018,0.453006,-0.032508,0.988924,0.522686,0.393127,-0.140477,0.994019,0.370953,0.390546,-0.214151,0.988543,0.471031,0.568905,0.002695,0.999803,0.425452,0.5682,-0.002687,0.999855,0.476645,0.704615,-0.013267,0.956372,0.413409,0.708222,-0.029842,0.959806,0.477936,0.826814,0.06054,0.91281,0.405577,0.840147,0.037449,0.945945,0.469272,0.842303,0.062851,0.653539,0.40906,0.856484,0.038585,0.654418,0.493219,0.855684,-0.038617,0.91255,0.390922,0.874452,-0.069677,0.918653
0.483247,0.411179,0.113492,0.999952,0.41112,0.410991,0.104922,0.999947,0.526144,0.459761,-0.00449,0.99416,0.365361,0.452773,-0.011813,0.991007,0.522585,0.393366,-0.160857,0.995376,0.371021,0.390206,-0.195162,0.991297,0.471102,0.568976,0.001121,0.999813,0.425472,0.567902,-0.001116,0.99986,0.477027,0.704535,-0.017257,0.956449,0.41334,0.708148,-0.029269,0.960142,0.477714,0.826993,0.054475,0.91357,0.404969,0.839961,0.039792,0.94576,0.46918,0.842695,0.056542,0.653639,0.408825,0.856961,0.041077,0.652915,0.492901,0.856178,-0.049005,0.913769,0.391505,0.874273,-0.068596,0.918759
0.483657,0.4105,0.112294,0.999954,0.411269,0.410948,0.095646,0.999951,0.527535,0.452933,-0.012629,0.994901,0.365453,0.447259,-0.035632,0.992611,0.522476,0.388414,-0.166564,0.996237,0.37116,0.384444,-0.220425,0.993143,0.471145,0.569234,0.001497,0.999823,0.425636,0.568115,-0.001501,0.999866,0.477032,0.704356,-0.02109,0.957616,0.413531,0.708411,-0.030071,0.960738,0.477651,0.82702,0.050266,0.915711,0.404931,0.839797,0.041715,0.946482,0.469036,0.84302,0.051816,0.658011,0.408509,0.856581,0.043086,0.65534,0.493052,0.856448,-0.057285,0.915688,0.393309,0.873554,-0.068452,0.919842
0.485012,0.408031,-0.02438,0.999852,0.408138,0.410342,-0.042745,0.999868,0.538493,0.404557,-0.154065,0.995835,0.350651,0.392855,-0.143043,0.994546,0.522037,0.344147,-0.305458,0.995556,0.371096,0.332066,-0.251246,0.992727,0.471575,0.570582,0.003603,0.999682,0.426054,0.570843,-0.003639,0.999769,0.477016,0.70667,-0.021505,0.949603,0.412908,0.712021,-0.030177,0.958167,0.477681,0.828089,0.06729,0.910239,0.405046,0.840173,0.052196,0.942968,0.468959,0.843781,0.069011,0.658863,0.408264,0.857068,0.052773,0.654913,0.493979,0.857371,-0.053866,0.910307,0.393899,0.875732,-0.072757,0.915177
0.485058,0.40373,0.105412,0.999701,0.407297,0.406253,0.064207,0.999788,0.534459,0.356602,0.034349,0.996381,0.356188,0.353741,-0.006899,0.996129,0.51311,0.289605,-0.047758,0.993238,0.380213,0.284678,-0.063944,0.992319,0.471881,0.573293,0.004097,0.999608,0.425957,0.573438,-0.004026,0.999727,0.476962,0.706775,-0.011391,0.955784,0.413375,0.711766,-0.028441,0.964861,0.478239,0.828124,0.090936,0.92084,0.404244,0.838665,0.066791,0.951231,0.469952,0.843754,0.093666,0.696543,0.407001,0.854959,0.068277,0.699058,0.49372,0.857894,-0.033593,0.916487,0.390633,0.868604,-0.064334,0.924692
0.483223,0.401614,0.064083,0.9995,0.412983,0.404199,0.019491,0.999723,0.510502,0.331064,0.026683,0.996024,0.381857,0.330032,-0.059762,0.996724,0.503368,0.252321,-0.031841,0.992081,0.390558,0.255232,-0.114075,0.992146,0.471761,0.574301,0.004887,0.999586,0.427541,0.575174,-0.004752,0.999717,0.476927,0.707402,0.017272,0.960788,0.41534,0.710412,-0.02239,0.969648,0.479134,0.827458,0.133154,0.926983,0.404868,0.839554,0.085446,0.958677,0.471017,0.84428,0.137336,0.720952,0.407068,0.854726,0.088418,0.735354,0.49494,0.859602,0.016956,0.913141,0.390736,0.870302,-0.040485,0.930565
0.481853,0.39926,-0.02187,0.999115,0.414801,0.401924,-0.060525,0.999392,0.498719,0.324315,-0.060162,0.99534,0.397096,0.31972,-0.136531,0.996699,0.498866,0.240366,-0.110545,0.992157,0.398072,0.243453,-0.196475,0.991513,0.471724,0.574695,0.003013,0.999491,0.428269,0.575322,-0.002906,0.99966,0.476693,0.705393,0.030991,0.962656,0.415952,0.707314,-0.002893,0.972707,0.479779,0.826326,0.159071,0.931827,0.407424,0.833973,0.115375,0.964727,0.472513,0.844135,0.164608,0.745754,0.408169,0.851539,0.118899,0.778067,0.494898,0.858603,0.048964,0.911441,0.390341,0.870218,-0.005276,0.935789
0.481789,0.398801,-0.032181,0.998268,0.415073,0.401706,-0.069098,0.998983,0.497396,0.32272,-0.051579,0.994448,0.394597,0.320804,-0.149075,0.996737,0.494332,0.240641,-0.090798,0.99169,0.399195,0.246194,-0.201601,0.990956,0.472129,0.576229,0.003297,0.999211,0.428714,0.576655,-0.003184,0.999551,0.476806,0.705412,0.037549,0.95713,0.415734,0.707047,-0.007718,0.972535,0.479704,0.825765,0.170859,0.921285,0.407625,0.838247,0.098577,0.966071,0.472492,0.841406,0.17723,0.746499,0.408186,0.854486,0.101041,0.800142,0.496027,0.857386,0.067249,0.894638,0.389489,0.871447,-0.022558,0.932775
0.482242,0.401357,0.114064,0.998417,0.413662,0.403908,0.085818,0.999138,0.513881,0.340562,0.068773,0.995083,0.368822,0.336991,0.01522,0.997305,0.496206,0.270166,0.035399,0.992232,0.394552,0.269557,-0.023927,0.991796,0.472387,0.575071,0.000425,0.999236,0.428259,0.575472,-0.00027,0.999574,0.476875,0.704662,-0.025263,0.959103,0.416147,0.706358,-0.030143,0.973798,0.479953,0.828144,0.062533,0.92075,0.407403,0.838854,0.048038,0.967122,0.472838,0.844843,0.064128,0.747015,0.408367,0.855408,0.048437,0.806168,0.495147,0.859813,-0.061447,0.892397,0.390321,0.872506,-0.077229,0.933614
